title,source,time,summary
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
汇川技术:朱兴明先生解除质押1706万股及再质押1020万股,每日经济新闻,2020年9月17日,每经AI快讯，汇川技术（SZ 300124，收盘价：55.36元）9月17日晚间发布公告称，公司实际控制人朱兴明于2020年9月17日将原质押的公司股份1706万股解除质押；并于2020年09月16日再质押1020万股，占其所持股份比例为11.78%。2020年...
汇川技术(300124.SZ):实控人朱兴明质押1020万股 解押1706万股,格隆汇,2020年9月17日,解押1706万股 格隆汇 9 月 17日丨汇川技术(300124.SZ)公告，近日接到公司实际控制人朱兴明通知，获悉朱兴明将其持有的本公司部分股份进行了质押及解除质押，本次质押数量1020万股，本次解除质押股份数量1706万股。
"汇川技术:实控人朱兴明解除质押615万股,再质押310万股",每日经济新闻,2020年9月3日,每经AI快讯，汇川技术（SZ 300124，收盘价：54.76元）9月3日晚间发布公告称，公司近日接到公司实际控制人朱兴明先生通知，其于2020年09月03日将原质押给华泰证券（上海）资产管理有限公司的公司股份约615万股解除质押，占其所持股份...
汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,腾讯网,2020年8月6日,"汇川技术:关于增加苏州汇川技术有限公司与苏州创联电气传动有限,来源: 汇川技术 时间: 2020-08-18"
汇川技术(300124.SZ):朱兴明已通过大宗交易减持597.83万股,格隆汇,2020年6月23日,格隆汇 6 月 23日丨汇川技术(300124.SZ)公布，公司于2020年6月23日收到公司持股5%以上股东朱兴明出具的《简式权益变动报告书》。朱兴明在2020年6月22日通过大宗交易方式减持其直接持有的公司股份597.83万股。此次权益变动后，朱兴明合计...
汇川技术2020年净利21亿增长120.62% 董事长朱兴明薪酬359.75万,挖贝网,前天11:48,"董事长、总裁朱兴明从公司获得的税前报酬总额359.75万元,财务总监刘迎新从公司获得的税前报酬总额221.90万元,董事、副总裁、董事会秘书宋君恩从公司获得的税前报酬总额226.38万元。 挖贝网资料显示,汇川技术业务分为:通用自动化业务、电梯..."
"专访|汇川技术董事长朱兴明:持续变革管理,打造企业变革竞争力",新浪财经,4月13日,2003年，朱兴明投身创业，成立汇川技术。经历十多年来的发展，汇川技术聚焦工业领域的自动化、数字化、智能化，专注“信息层、控制层、驱动层、执行层、传感层”核心技术。公司业务已涵盖通用自动化业务、电梯电气大配套业务、新能源汽车...
汇川技术:关于苏州汇川联合动力系统有限公司投资设立子公司暨建设...,同花顺财经,4月27日,"深圳市汇川技术股份有限公司(以下称“公司”)于2021年4月23日召开第四届董事会第三十四次会议,同意全资子公司苏州汇川联合动力系统有限公司(以下简称“联合动力”)投资建设生产厂房及配套设施。具体情况如下: ..."
"朱兴明吹了18年,汇川技术的“气球” 能有多大?|创造营",华夏时报,4月3日,为了企业更好的发展，保住人才不流失，朱兴明把汇川技术打造成了一个“财富分享的公司”，也就是利益共同体。汇川技术上市以来，通过多轮股权激励绑定核心管理与技术人员，其中第三、第四期股权激励依旧处于实施状态，第五期股权激励也刚...
苏州汇川技术有限公司来我院召开2020年招聘宣讲会,搜狐网,2020年9月23日,"9月21日,苏州汇川技术有限公司应我院邀请,前来我校进行2020年校园招聘宣讲会。宣讲会在镜湖大讲堂进行,我校部分2021届毕业班学生参加了此次宣讲会。 ▲招聘宣讲会现场 汇川技术华东区总经理、我校2008级校友刘光斌向同学们详细介绍了汇川..."
